Symbol,Address,Price,24hr Volume,Decimals
BTC,Symbol not found,70293.99,38989.13503,address not found
ETH,Symbol not found,3608.75,386737.1562,address not found
SOL,Symbol not found,189.64,4234979.1,address not found
1000PEPE,Symbol not found,price not found,volume not found,address not found
XRP,Symbol not found,0.6286,497206523,address not found
AVAX,Symbol not found,55.92,3444954.86,address not found
BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,579.5,556491.808,18
DOGE,Symbol not found,0.18904,3352532457,address not found
ORDI,b61b0172d95e266c18aea0c624db987e971a5d6d4ebc2aaed85da4642d635735i0,66.056,1228715.57,address not found
NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,7.605,26060615.4,address not found
1000SHIB,Symbol not found,price not found,volume not found,address not found
WLD,0x163f8c2467924be0ae7b5347228cabf260318753,8.752,12788762,address not found
INJ,0xe28b3b32b6c345a34ff64674606124dd5aceca30,38.56,1895490.1,address not found
HIFI,0x4b9278b94a1112cAD404048903b8d343a810B07e,1.3187,36583569,address not found
GALA,0xd1d2Eb1B1e90B638588728b4130137D262C87cae,0.06807,1482088090,address not found
ARB,0x912CE59144191C1204E64559FE8253a0e49E6548,1.7132,89695345.8,address not found
WIF,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,3.3882,113961610.8,address not found
1000FLOKI,Symbol not found,price not found,volume not found,address not found
ID,0x2dfF88A56767223A5529eA5960Da7A3F5f766406,1.23974,24601300,address not found
FIL,Symbol not found,9.482,11042324.82,address not found
LTC,Symbol not found,96.13,2215722.342,address not found
TIA,ibc/D79E7D83AB399BFFF93433E54FAA480C191248FC556924A2A8351AE2638B3877,14.1,2607917.2,address not found
ADA,Symbol not found,0.6573,123729965.6,address not found
MATIC,Symbol not found,1.0423,78866736.8,address not found
OP,0x4200000000000000000000000000000000000042,3.926,22611731.13,address not found
LINK,0x514910771af9ca656af840dff83e8264ecf986ca,19.837,4968326.36,address not found
REEF,0xFE3E6a25e6b192A42a44ecDDCd13796471735ACf,0.003304,1491880132,18
WAVES,Symbol not found,3.962,3478685,address not found
RUNE,Symbol not found,9.757,20246313.4,address not found
DOT,Symbol not found,9.654,8102041.21,address not found
ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498,1.08,27971635,address not found
SEI,Symbol not found,0.8737,78034234.1,address not found
BCH,Symbol not found,492,191279.871,address not found
PIXEL,0x3429d03c6F7521AeC737a0BBF2E5ddcef2C3Ae31,0.7788,89263881.1,address not found
SUI,0x2::sui::SUI,2.0211,105156732,address not found
FET,0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,3.0252,75271787,address not found
1000SATS,Symbol not found,0.0005214,72324940240,address not found
ETC,Symbol not found,32.19,1053050.67,address not found
ARPA,0xba50933c268f567bdc86e1ac131be072c6b0b71a,0.091,113379888.1,address not found
1000BONK,Symbol not found,price not found,volume not found,address not found
FTM,0x4E15361FD6b4BB609Fa63C81A2be19d873717870,1.0833,140689106,18
SPELL,0x090185f2135308bad17527004364ebcc2d37e5f6,0.0012476,3265823371,address not found
CELO,0x3294395e62F4eB6aF3f1Fcf89f5602D90Fb3Ef69,1.311,20249020,address not found
GMT,0xe3c408bd53c31c085a1746af401a4042954ff740,0.3406,145617759.9,address not found
RNDR,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,11.113,7179429.03,address not found
APT,Symbol not found,18.4162,9802117.34,address not found
MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,3218,6923.809,address not found
UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,12.702,1848176.02,address not found
MANTA,Symbol not found,3.241,15457533,address not found
ATOM,Symbol not found,12.171,2707566.38,address not found
GRT,0xc944e90c64b2c07662a292be6244bdf05cda44a7,0.3971,83187077,address not found
APE,0x4d224452801aced8b2f0aebe155379bb5d594381,2.068,8732871.15,address not found
JUP,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,1.3241,43361515.3,address not found
TON,Symbol not found,price not found,volume not found,address not found
SSV,0x9D65fF81a3c488d585bBfb0Bfe3c7707c7917f54,64.05,476506.474,address not found
MEME,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0.039083,853734346,address not found
SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0.7097,69293017,address not found
DYDX,0x92D6C1e31e14520e676a687F0a93788B716BEff5,3.605,6626164.05,address not found
STRK,0xCa14007Eff0dB1f8135f4C25B34De49AB0d42766,2.303,30229883.52,address not found
MOVR,Symbol not found,22.439,495909.248,address not found
STX,0x006BeA43Baa3f7A6f765F14f10A1a1b08334EF45,3.5329,11317036.8,18
JOE,0x6e84a6216eA6dACC71eE8E6b0a5B7322EEbC0fDd,0.9836,14449131.18,address not found
PYTH,HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3,0.9421,26487525.6,address not found
EOS,Symbol not found,1.0837,12829194.6,address not found
ALGO,Symbol not found,0.2835,87374162,address not found
ARKM,0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,2.832,11374629,address not found
ENS,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,22.74,849527.46,address not found
AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,129.89,138599.267,18
ZIL,0x05f4a42e251f2d52b8ed15E9FEdAacFcEF1FAD27,0.03687,475870600.3,12
SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,4.973,4530181.4,address not found
AXS,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,11.281,2337436.63,address not found
CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,0.7094,22049943.4,address not found
THETA,0x0000000DE40dfa9B17854cBC7869D80f9F98D823,3.03,7249307.9,address not found
1000RATS,Symbol not found,price not found,volume not found,address not found
MINA,Symbol not found,1.2996,17795941.7,address not found
ICP,ryjl3-tyaaa-aaaaa-aaaba-cai,19.239,10551150.87,address not found
XAI,0x4Cb9a7AE498CEDcBb5EAe9f25736aE7d428C9D66,1.2806,16338056.6,address not found
YGG,0x25f8087ead173b73d6e8b84329989a8eea16cf73,1.1963,81604379.8,address not found
MYRO,HhJpBhRRn4g56VsyLuT8DL5Bv31HkXqsrahTTUCZeZg4,price not found,volume not found,address not found
LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,3.205,12722095.76,address not found
TRB,0x88dF592F8eb5D7Bd38bFeF7dEb0fBc02cf3778a0,94.53,146398.46,address not found
UMA,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,4.625,3369549.4,address not found
AI,0xBDA011D7F8EC00F66C1923B049B94c67d148d8b2,1.781,16093919,address not found
ALT,0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB,0.64865,188655240,address not found
FLOW,Symbol not found,1.454,11709040.82,address not found
BAKE,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,0.4672,42920678.6,address not found
BIGTIME,0x64Bc2cA1Be492bE7185FAA2c8835d9b824c8a194,price not found,volume not found,address not found
EGLD,Symbol not found,62.78,235278.34,address not found
BLUR,0x5283d291dbcf85356a21ba090e6db59121208b44,0.6135,26969566.6,address not found
POWR,0x595832f8fc6bf59c85c527fec3740a1b7a361269,0.4205,25861327,address not found
ANKR,0x8290333cef9e6d528dd5618fb97a76f268f3edd4,0.05987,1865051225,address not found
XLM,Symbol not found,0.1379,118140657,address not found
PEOPLE,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0.04165,247256266.2,address not found
HOT,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,0.003494,2744342039,address not found
JASMY,0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC,0.022392,1963014559,18
MASK,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,5.105,6301658,address not found
1000LUNC,Symbol not found,price not found,volume not found,address not found
IOTA,Symbol not found,0.3586,59452538,address not found
JTO,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,3.141,10002170.5,address not found
LPT,0x58b6a8a3302369daec383334672404ee733ab239,20.844,546005.33,address not found
DYM,Symbol not found,5.915,3268074.8,address not found
CFX,Symbol not found,0.4995,162291281,address not found
ACH,0xed04915c23f00a313a544955524eb7dbd823143d,0.04312,784233554,address not found
HBAR,Symbol not found,0.1172,338822622,address not found
MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0.6857,21794735,address not found
CHZ,0x3506424f91fd33084466f402d5d97f05f8e3b4af,0.14672,108357948,address not found
LOOM,0x42476F744292107e34519F9c357927074Ea3F75D,0.1226,68044793,18
PHB,Symbol not found,2.8625,3445454,address not found
ZEN,Symbol not found,14.1,397129.16,address not found
CAKE,0x152649eA73beAb28c5b49B26eb48f7EAD6d4c898,4.379,5348676.67,address not found
ONDO,0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3,price not found,volume not found,address not found
COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,78.31,164601.126,address not found
BELU,Symbol not found,price not found,volume not found,address not found
STMX,0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c,0.01271,1362188774,address not found
PORTAL,0x1bbe973bef3a977fc51cbed703e8ffdefe001fed,2.2105,23549805.7,address not found
AR,Symbol not found,42.075,776925.42,address not found
CKB,Symbol not found,0.020661,1212455061,address not found
ACE,0xc27A719105A987b4c34116223CAE8bd8F4B5def4,10.9175,2510164.7,address not found
XEM,Symbol not found,0.05303,47089298,address not found
KSM,Symbol not found,49.97,178586.705,address not found
IOTX,0x6fB3e0A217407EFFf7Ca062D46c26E5d60a14d69,0.07467,186528651,18
XVG,Symbol not found,0.006489,622262092,address not found
NFP,0x75e8ddb518bb757b4282cd5b83bb70d4101d12fb,0.82725,24184835,address not found
LINA,0x3e9bc21c9b189c09df3ef1b824798658d5011937,0.014719,1169616931,address not found
IMX,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2.9932,4216412.84,address not found
VET,Symbol not found,0.04427,426171169.5,address not found
SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,1.805,6594246.1,address not found
LUNA2,Symbol not found,price not found,volume not found,address not found
MAGIC,0x539bdE0d7Dbd336b79148AA742883198BBF60342,1.1879,8542148,address not found
UNFI,0x728C5baC3C3e370E372Fc4671f9ef6916b814d8B,7.67,2584144.1,address not found
STORJ,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0.8018,10586855,address not found
TRX,0x50327c6c5a14DCaDE707ABad2E27eB517df87AB5,0.12121,390852475.7,address not found
QTUM,Symbol not found,4.676,1146354.9,address not found
LRC,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0.4143,22349171,address not found
OCEAN,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,1.2232,14096663,address not found
