Symbol,Address,Price,24hr Volume
BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,546.60000000,1082464.74900000
NEAR,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,6.38800000,26795824.60000000
WLD,0x163f8c2467924be0ae7b5347228cabf260318753,7.77800000,11781264.00000000
INJ,inj,35.36000000,1710846.80000000
ARB,0x912CE59144191C1204E64559FE8253a0e49E6548,1.58340000,128339219.00000000
ID,0x2dfF88A56767223A5529eA5960Da7A3F5f766406,1.11148000,108597944.00000000
LINK,0x514910771af9ca656af840dff83e8264ecf986ca,17.45100000,4898360.56000000
REEF,0xFE3E6a25e6b192A42a44ecDDCd13796471735ACf,0.00287800,1979803195.00000000
ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498,0.87080000,54541436.00000000
PIXEL,0x3429d03c6F7521AeC737a0BBF2E5ddcef2C3Ae31,0.73100000,103689171.60000000
FET,0xaea46A60368A7bD060eec7DF8CBa43b7EF41Ad85,2.44430000,46652316.00000000
ARPA,0xba50933c268f567bdc86e1ac131be072c6b0b71a,0.08228000,218266730.30000000
FTM,0x4E15361FD6b4BB609Fa63C81A2be19d873717870,1.12270000,307047702.00000000
SPELL,0x090185f2135308bad17527004364ebcc2d37e5f6,0.00111460,3524166638.00000000
CELO,0x3294395e62F4eB6aF3f1Fcf89f5602D90Fb3Ef69,1.05100000,13534184.50000000
GMT,0xe3c408bd53c31c085a1746af401a4042954ff740,0.27570000,78175030.40000000
RNDR,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,10.64800000,12524248.03000000
MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,3122.00000000,21388.36650000
UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,11.43600000,2407572.78000000
GRT,0xc944e90c64b2c07662a292be6244bdf05cda44a7,0.36180000,76319322.00000000
APE,0x4d224452801aced8b2f0aebe155379bb5d594381,1.81500000,11580483.48000000
SSV,0x9D65fF81a3c488d585bBfb0Bfe3c7707c7917f54,58.53000000,997277.74800000
MEME,0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,0.03415800,1135013755.00000000
SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,0.62420000,54127428.00000000
DYDX,ibc/831F0B1BBB1D08A2B75311892876D71565478C532967545476DF4C2D7492E48C,3.20400000,5380403.31000000
STX,0x006BeA43Baa3f7A6f765F14f10A1a1b08334EF45,3.46110000,28401715.87000000
ARKM,0x6e2a43be0b1d33b726f0ca3b8de60b3482b8b050,2.49720000,12096424.00000000
ENS,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,20.25000000,1744932.02000000
ZIL,0x05f4a42e251f2d52b8ed15E9FEdAacFcEF1FAD27,0.03213000,427765793.20000000
SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,4.20600000,5113251.30000000
AXS,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,9.70400000,1713522.25000000
CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,0.64250000,32890699.30000000
THETA,0x0000000DE40dfa9B17854cBC7869D80f9F98D823,2.75200000,9829869.30000000
LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2.90500000,13666842.92000000
TRB,0x88dF592F8eb5D7Bd38bFeF7dEb0fBc02cf3778a0,87.49000000,161481.08000000
UMA,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828,3.67100000,1168642.10000000
AI,0xBDA011D7F8EC00F66C1923B049B94c67d148d8b2,1.60100000,19187232.00000000
ALT,0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB,0.47540000,154182532.00000000
BIGTIME,0x64Bc2cA1Be492bE7185FAA2c8835d9b824c8a194,price not found,volume not found
BLUR,0x5283d291dbcf85356a21ba090e6db59121208b44,0.54690000,21280555.20000000
POWR,0x595832f8fc6bf59c85c527fec3740a1b7a361269,0.36020000,14920258.00000000
PEOPLE,0x7a58c0be72be218b41c608b7fe7c5bb630736c71,0.03686000,369605153.80000000
HOT,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,0.00311700,2323891425.00000000
MASK,0x69af81e73a73b40adf4f3d4223cd9b1ece623074,4.41000000,4970837.80000000
LPT,0x58b6a8a3302369daec383334672404ee733ab239,17.77300000,856454.83000000
ACH,0xed04915c23f00a313a544955524eb7dbd823143d,0.03526000,528756263.00000000
MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0.60400000,17563831.00000000
CHZ,0x3506424f91fd33084466f402d5d97f05f8e3b4af,0.13000000,169627495.00000000
CAKE,0x152649eA73beAb28c5b49B26eb48f7EAD6d4c898,3.98900000,9776583.80000000
ONDO,0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3,price not found,volume not found
COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,69.03000000,163348.49300000
STMX,0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c,0.01003900,336749840.00000000
PORTAL,0x1bbe973bef3a977fc51cbed703e8ffdefe001fed,1.84140000,14887079.50000000
IOTX,0x6fB3e0A217407EFFf7Ca062D46c26E5d60a14d69,0.06668000,229803651.00000000
LINA,0x3e9bc21c9b189c09df3ef1b824798658d5011937,0.01227100,647943220.10000000
IMX,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2.69950000,3725352.85000000
SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,1.63500000,4268884.50000000
STORJ,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0.68050000,8375891.00000000
TRX,0x50327c6c5a14DCaDE707ABad2E27eB517df87AB5,0.11615000,407526026.50000000
LRC,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0.36840000,27729300.00000000
OCEAN,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,1.05920000,12709717.00000000
OGN,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0.19610000,28390108.00000000
LEVER,0x4B5f49487ea7B3609b1aD05459BE420548789f1f,0.00228500,2661126750.00000000
API3,0x0b38210ea11411557c13457D4dA7dC6ea731B88a,3.44900000,8824062.15000000
SXP,0x8CE9137d39326AD0cD6491fb5CC0CbA0e089b6A9,0.39720000,22376583.60000000
RDNT,0x137dDB47Ee24EaA998a535Ab00378d6BFa84F893,0.30670000,37063589.00000000
FXS,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,6.96500000,2460179.40000000
MTL,0xF433089366899D83a9f26A773D59ec7eCF30355e,1.91100000,1792527.50000000
QNT,0x4a220e6096b25eadb88358cb44068a3248254675,121.10000000,69826.98300000
IOST,0xFA1a856Cfa3409CFa145Fa4e20Eb270dF3EB21ab,0.01030000,898926299.00000000
ENJ,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c,0.47820000,22204907.60000000
CHR,0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2,0.40430000,33294702.00000000
COTI,0xDDB3422497E61e13543BeA06989C0789117555c5,0.18365000,51995259.00000000
GAS,0xd2a4cff31913016155e38e474a2c06d08be276cf,6.11700000,992557.10000000
1INCH,0x111111111117dc0aa78b770fa6a738034120c302,0.52540000,9406893.70000000
WOO,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,0.42680000,20562153.20000000
CTSI,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,0.28790000,16683958.00000000
METIS,0x9E32b13ce7f2E80A01932B42553652E053D6ed8e,98.79000000,109695.94800000
MAV,0x7448c7456a97769F6cD04F1E83A4a23cCdC46aBD,0.54020000,17065354.00000000
BOND,0x0391D2021f89DC339F60Fff84546EA23E337750f,3.87700000,1002804.30000000
SLP,0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25,0.00576200,2007419147.00000000
PENDLE,0x808507121b80c02388fad14726482e061b8da827,2.92330000,13591563.70000000
RSR,0x320623b8e4ff03373931769a31fc52a4e78b5d70,0.00783700,18125222661.10000000
RLC,0x607f4c5bb672230e8672085532f7e901544a7375,3.67300000,1619423.80000000
KNC,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,0.78530000,4310328.70000000
ZETA,0xf091867ec603a6628ed83d274e835539d82e9cc8,price not found,volume not found
YFI,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,8511.00000000,840.91352000
DENT,0x3597bfd533a99c9aa083587b074434e61eb0a258,0.00169700,3179085396.00000000
GLM,0x7DD9c5Cba05E151C895FDe1CF355C9A1D5DA6429,0.44980000,10453782.80000000
LIT,0xb59490ab09a0f526cc7305822ac65f2ab12f9723,1.35200000,2380534.00000000
FRONT,0xf8C3527CC04340b208C854E985240c02F7B7793f,1.22500000,30506530.00000000
ORBS,0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,price not found,volume not found
TLM,0x888888848B652B3E3a0f34c96E00EEC0F3a23F72,0.02339000,394756092.00000000
AUCTION,0xa9b1eb5908cfc3cdf91f9b8b3a74108598009096,20.89000000,646716.15000000
SFP,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb,0.70500000,3126740.00000000
